"source","index","title_zh","alignment_count"
"essay","0","我早上七點鐘到學校。","42"
"essay","1","七點","42"
"essay","2","我早上7點到學校。","42"
"essay","3","我天天上學。","42"
"essay","4","我的名字是Ljumeg。","42"
"essay","5","名字","42"
"essay","6","我的名字是Ljumeg。","42"
"essay","7","我的名字是Ljumeg。","42"
"essay","8","我是排灣族的小孩。","42"
"essay","9","小孩","42"
"essay","10","我們家有五個人。","42"
"essay","11","我們家共有五個人。","42"
"essay","12","今天我和媽媽出去玩。","42"
"essay","13","白天","42"
"essay","14","天空是紅色的。","42"
"essay","15","星星出來了。","42"
"essay","16","走路","42"
"essay","17","走路","42"
"essay","18","我的學校在我們家旁邊。","42"
"essay","19","我天天____去學校。","42"
"essay","20","昨天，我去部落拜訪爺爺。","42"
"essay","21","爺爺喜歡我。","42"
"essay","22","想念","42"
"essay","23","我們很久沒有見面了，我很_____他。","42"
"essay","24","排隊","42"
"essay","25","排隊","42"
"essay","26","今天老師帶我們去動物園。","42"
"essay","27","我看到很多___，他們在樹上飛來飛去。","42"
"essay","28","這個假日，我和姊姊去台東拜訪叔叔。","42"
"essay","29","摩托車","42"
"essay","30","我和姊姊曾經去過屏東。","42"
"essay","31","我們很久沒有見面了，我很_____他。","42"
"essay","32","我和哥哥回到部落訪問老人家。","42"
"essay","33","我和哥哥回到部落訪問老人家。","42"
"essay","34","今天老師帶我們去動物園。","42"
"essay","35","今天傍晚，弟弟就要回家了。","42"
"essay","36","今天傍晚，弟弟就要回家了。","42"
"essay","37","菜攤有好多新鮮的青菜。","42"
"essay","38","來買我的魚，我的魚又大又____。","42"
"essay","39","今天傍晚","42"
"essay","40","我有一個同學，他常常忘記帶東西。","42"
"essay","41","他跟同學借衛生紙。","42"
"essay","42","上課的時候","42"
"essay","43","我的爸爸是獵人。","42"
"essay","44","我的爸爸是部落的獵人。","42"
"essay","45","這個陷阱是用來抓捕雉雞的。","42"
"essay","46","我小的時候","42"
"essay","47","我今天七點到學校。","42"
"essay","48","這是什麼?","42"
"essay","49","我早上上學遲到了。","42"
"essay","50","遲到","42"
"essay","51","我沒有帶書包。","42"
"essay","52","我早上上學遲到了。","42"
"essay","53","我的好朋友叫 Pulja...","42"
"essay","54","部落","42"
"essay","55","我很會說排灣語。","42"
"essay","56","我的好朋友叫 Pulja...","42"
"essay","57","今天是學校的運動會","42"
"essay","58","競賽","42"
"essay","59","我跌倒了。","42"
"essay","60","我比賽跑步。","42"
"essay","61","昨天我和爸爸去拜訪kapi叔叔。","42"
"essay","62","拜訪","42"
"essay","63","Kapi叔叔從屋頂上摔下來。","42"
"essay","64","叔叔的腳受傷了。","42"
"essay","65","你為甚麼堅持要改名?","42"
"essay","66","你為甚麼堅持要改名?","42"
"essay","67","在2022年","42"
"essay","68","這辣椒很辣，你吃少一點。","42"
"essay","69","這辣椒很辣，你吃少一點。","42"
"essay","70","這辣椒很辣，你吃少一點。","42"
"essay","71","她煮的蕨菜和糯米飯非常好吃","40"
"essay","72","昨天我跟奶奶去市集擺攤","1"
"dialogue","0","大家好","42"
"dialogue","1","A:你是誰?","42"
"dialogue","2","A:他是誰","42"
"dialogue","3","A:今天天氣如何?","42"
"dialogue","4","A:我忘了帶筆","42"
"dialogue","5","A:請問ljavaus在家嗎?","42"
"dialogue","6","A:大家好","42"
"dialogue","7","A:你怎麼來的?","42"
"dialogue","8","A:我可以訪問你嗎","42"
"dialogue","9","A:你好","42"
"dialogue","10","A:我可以跟你借錢嗎","42"
"dialogue","11","A:你要去哪裡","42"
"dialogue","12","今天老師要教大家動物的排...","42"
"dialogue","13","動物","42"
"dialogue","14","A:老師","42"
"dialogue","15","A:大家好","42"
"dialogue","16","你","42"
"dialogue","17","A:那個人是誰?B:他是...","42"
"dialogue","18","A:那個男生是誰?","42"
"dialogue","19","阿姨(阿姨的名字vais)","42"
"dialogue","20","A:他們全家有幾個人?B...","42"
"dialogue","21","A:今天天氣如何?","42"
"dialogue","22","天氣","42"
"dialogue","23","A:假日天氣怎麼樣?B:...","42"
"dialogue","24","A:我忘了帶課本","42"
"dialogue","25","課本","42"
"dialogue","26","A:他放學要做什麼?  ...","42"
"dialogue","27","A:Ljumeg","42"
"dialogue","28","地瓜","42"
"dialogue","29","A:我削水果給你吃","42"
"dialogue","30","A:老師今天要帶你們去山上","42"
"dialogue","31","河邊","42"
"dialogue","32","A:我們今天要去哪裡?B...","42"
"dialogue","33","A:你怎麼去工寮?","42"
"dialogue","34","工寮","42"
"dialogue","35","A:Sauniyaw搭什...","42"
"dialogue","36","M:你今天有空嘛?","42"
"dialogue","37","Topic 38","42"
"dialogue","38","W:Itjing","42"
"dialogue","39","Topic 40","42"
"dialogue","40","W:Cumai","42"
"dialogue","41","Topic 42","42"
"dialogue","42","A:田鼠應該要⽤⽯壓式陷阱抓","42"
"dialogue","43","Topic 44","42"
"dialogue","44","A:老師來了","42"
"dialogue","45","廁所","42"
"dialogue","46","1.A:Muni為甚麼沒...","42"
"dialogue","47","A:請自我介紹","42"
"dialogue","48","排灣族","42"
"dialogue","49","1.A:你身高多少? B...","42"
"dialogue","50","A:你要去哪裡?","42"
"dialogue","51","辦公室","42"
"dialogue","52","1.A:們運動會那天要做...","42"
"dialogue","53","A:奶奶在家嗎?","42"
"dialogue","54","睡覺","42"
"dialogue","55","1.A:奶奶在家嗎? B:在","42"
"dialogue","56","W:我和您約明天下午好嗎?","42"
"dialogue","57","Topic 58","42"
"dialogue","58","W:你有賣甚麼?","42"
"dialogue","59","Topic 60","41"
"dialogue","60","M:你今天有空嘛?","1"
